Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run7\7_28.cypher;28;x;60;0;146
.\measurementA\cypher\run7\7_29.cypher;29;x;59;2;148
.\measurementA\cypher\run7\7_30.cypher;30;x;60;0;148
.\measurementA\cypher\run7\7_31.cypher;31;x;59;4;152
.\measurementA\cypher\run7\7_32.cypher;32;x;60;1;153
.\measurementA\cypher\run7\7_33.cypher;33;x;60;0;153
.\measurementA\cypher\run7\7_34.cypher;34;x;60;2;155
.\measurementA\cypher\run7\7_35.cypher;35;x;58;4;159
.\measurementA\cypher\run7\7_36.cypher;36;x;59;0;159
.\measurementA\cypher\run7\7_37.cypher;37;x;59;0;159
.\measurementA\cypher\run7\7_38.cypher;38;x;59;0;159
.\measurementA\cypher\run7\7_39.cypher;39;x;59;4;163
.\measurementA\cypher\run7\7_40.cypher;40;x;60;0;163
.\measurementA\cypher\run7\7_41.cypher;41;x;60;0;163
.\measurementA\cypher\run7\7_42.cypher;42;x;60;0;163
.\measurementA\cypher\run7\7_43.cypher;43;x;63;5;168
.\measurementA\cypher\run7\7_44.cypher;44;x;63;1;169
.\measurementA\cypher\run7\7_45.cypher;45;x;63;0;169
.\measurementA\cypher\run7\7_46.cypher;46;x;63;0;169
.\measurementA\cypher\run7\7_47.cypher;47;x;66;9;178
.\measurementA\cypher\run7\7_48.cypher;48;x;66;1;179
.\measurementA\cypher\run7\7_49.cypher;49;x;66;6;185
.\measurementA\cypher\run7\7_50.cypher;50;x;69;21;206
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run8\8_1.cypher;1;x;53;53;53
.\measurementA\cypher\run8\8_2.cypher;2;x;55;9;62
.\measurementA\cypher\run8\8_3.cypher;3;x;52;5;67
.\measurementA\cypher\run8\8_4.cypher;4;x;53;0;67
.\measurementA\cypher\run8\8_5.cypher;5;x;52;0;67
.\measurementA\cypher\run8\8_6.cypher;6;x;53;0;67
.\measurementA\cypher\run8\8_7.cypher;7;x;53;3;70
.\measurementA\cypher\run8\8_8.cypher;8;x;55;0;70
.\measurementA\cypher\run8\8_9.cypher;9;x;55;0;70
.\measurementA\cypher\run8\8_10.cypher;10;x;52;0;70
.\measurementA\cypher\run8\8_11.cypher;11;x;53;8;78
.\measurementA\cypher\run8\8_12.cypher;12;x;53;0;78
.\measurementA\cypher\run8\8_13.cypher;13;x;53;0;78
.\measurementA\cypher\run8\8_14.cypher;14;x;53;0;78
.\measurementA\cypher\run8\8_15.cypher;15;x;55;6;84
.\measurementA\cypher\run8\8_16.cypher;16;x;53;0;84
.\measurementA\cypher\run8\8_17.cypher;17;x;55;0;84
.\measurementA\cypher\run8\8_18.cypher;18;x;55;0;84
.\measurementA\cypher\run8\8_19.cypher;19;x;55;19;103
.\measurementA\cypher\run8\8_20.cypher;20;x;56;2;105
.\measurementA\cypher\run8\8_21.cypher;21;x;58;1;106
.\measurementA\cypher\run8\8_22.cypher;22;x;55;0;106
.\measurementA\cypher\run8\8_23.cypher;23;x;56;3;109
.\measurementA\cypher\run8\8_24.cypher;24;x;55;0;109
.\measurementA\cypher\run8\8_25.cypher;25;x;56;0;109
.\measurementA\cypher\run8\8_26.cypher;26;x;56;0;109
.\measurementA\cypher\run8\8_27.cypher;27;x;58;0;109
.\measurementA\cypher\run8\8_28.cypher;28;x;58;0;109
.\measurementA\cypher\run8\8_29.cypher;29;x;56;0;109
.\measurementA\cypher\run8\8_30.cypher;30;x;56;0;109
.\measurementA\cypher\run8\8_31.cypher;31;x;62;21;130
.\measurementA\cypher\run8\8_32.cypher;32;x;62;9;139
.\measurementA\cypher\run8\8_33.cypher;33;x;62;10;149
.\measurementA\cypher\run8\8_34.cypher;34;x;55;5;154
.\measurementA\cypher\run8\8_35.cypher;35;x;56;1;155
.\measurementA\cypher\run8\8_36.cypher;36;x;58;0;155
.\measurementA\cypher\run8\8_37.cypher;37;x;56;0;155
.\measurementA\cypher\run8\8_38.cypher;38;x;60;2;157
.\measurementA\cypher\run8\8_39.cypher;39;x;62;0;157
.\measurementA\cypher\run8\8_40.cypher;40;x;62;0;157
.\measurementA\cypher\run8\8_41.cypher;41;x;60;0;157
.\measurementA\cypher\run8\8_42.cypher;42;x;62;0;157
.\measurementA\cypher\run8\8_43.cypher;43;x;62;0;157
.\measurementA\cypher\run8\8_44.cypher;44;x;62;7;164
.\measurementA\cypher\run8\8_45.cypher;45;x;61;3;167
.\measurementA\cypher\run8\8_46.cypher;46;x;56;7;174
.\measurementA\cypher\run8\8_47.cypher;47;x;56;0;174
.\measurementA\cypher\run8\8_48.cypher;48;x;54;1;175
.\measurementA\cypher\run8\8_49.cypher;49;x;54;0;175
.\measurementA\cypher\run8\8_50.cypher;50;x;56;0;175
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run9\9_1.cypher;1;x;52;52;52
.\measurementA\cypher\run9\9_2.cypher;2;x;52;8;60
.\measurementA\cypher\run9\9_3.cypher;3;x;52;0;60
.\measurementA\cypher\run9\9_4.cypher;4;x;52;0;60
.\measurementA\cypher\run9\9_5.cypher;5;x;52;0;60
.\measurementA\cypher\run9\9_6.cypher;6;x;52;0;60
.\measurementA\cypher\run9\9_7.cypher;7;x;53;5;65
.\measurementA\cypher\run9\9_8.cypher;8;x;52;9;74
.\measurementA\cypher\run9\9_9.cypher;9;x;52;0;74
.\measurementA\cypher\run9\9_10.cypher;10;x;52;0;74
.\measurementA\cypher\run9\9_11.cypher;11;x;54;7;81
.\measurementA\cypher\run9\9_12.cypher;12;x;54;0;81
.\measurementA\cypher\run9\9_13.cypher;13;x;54;0;81
.\measurementA\cypher\run9\9_14.cypher;14;x;51;0;81
.\measurementA\cypher\run9\9_15.cypher;15;x;54;4;85
.\measurementA\cypher\run9\9_16.cypher;16;x;54;0;85
.\measurementA\cypher\run9\9_17.cypher;17;x;52;3;88
.\measurementA\cypher\run9\9_18.cypher;18;x;52;0;88
.\measurementA\cypher\run9\9_19.cypher;19;x;52;0;88
.\measurementA\cypher\run9\9_20.cypher;20;x;53;0;88
.\measurementA\cypher\run9\9_21.cypher;21;x;52;0;88
.\measurementA\cypher\run9\9_22.cypher;22;x;53;0;88
.\measurementA\cypher\run9\9_23.cypher;23;x;52;0;88
.\measurementA\cypher\run9\9_24.cypher;24;x;53;0;88
.\measurementA\cypher\run9\9_25.cypher;25;x;54;0;88
.\measurementA\cypher\run9\9_26.cypher;26;x;54;0;88
.\measurementA\cypher\run9\9_27.cypher;27;x;54;0;88
.\measurementA\cypher\run9\9_28.cypher;28;x;54;13;101
.\measurementA\cypher\run9\9_29.cypher;29;x;51;0;101
.\measurementA\cypher\run9\9_30.cypher;30;x;52;0;101
.\measurementA\cypher\run9\9_31.cypher;31;x;54;0;101
.\measurementA\cypher\run9\9_32.cypher;32;x;52;0;101
.\measurementA\cypher\run9\9_33.cypher;33;x;55;2;103
.\measurementA\cypher\run9\9_34.cypher;34;x;53;0;103
.\measurementA\cypher\run9\9_35.cypher;35;x;53;1;104
.\measurementA\cypher\run9\9_36.cypher;36;x;55;6;110
.\measurementA\cypher\run9\9_37.cypher;37;x;55;0;110
.\measurementA\cypher\run9\9_38.cypher;38;x;53;0;110
.\measurementA\cypher\run9\9_39.cypher;39;x;53;0;110
.\measurementA\cypher\run9\9_40.cypher;40;x;53;0;110
.\measurementA\cypher\run9\9_41.cypher;41;x;55;0;110
.\measurementA\cypher\run9\9_42.cypher;42;x;55;0;110
.\measurementA\cypher\run9\9_43.cypher;43;x;55;0;110
.\measurementA\cypher\run9\9_44.cypher;44;x;52;0;110
.\measurementA\cypher\run9\9_45.cypher;45;x;53;0;110
.\measurementA\cypher\run9\9_46.cypher;46;x;52;0;110
.\measurementA\cypher\run9\9_47.cypher;47;x;55;0;110
.\measurementA\cypher\run9\9_48.cypher;48;x;51;0;110
.\measurementA\cypher\run9\9_49.cypher;49;x;52;0;110
.\measurementA\cypher\run9\9_50.cypher;50;x;52;0;110
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementAp\cypher\run1\1_1.cypher;1;x;61;61;61
.\measurementAp\cypher\run1\1_2.cypher;2;x;63;8;69
.\measurementAp\cypher\run1\1_3.cypher;3;x;63;12;81
.\measurementAp\cypher\run1\1_4.cypher;4;x;63;13;94
.\measurementAp\cypher\run1\1_5.cypher;5;x;67;15;109
.\measurementAp\cypher\run1\1_6.cypher;6;x;71;16;125
.\measurementAp\cypher\run1\1_7.cypher;7;x;69;10;135
.\measurementAp\cypher\run1\1_8.cypher;8;x;71;9;144
.\measurementAp\cypher\run1\1_9.cypher;9;x;73;22;166
.\measurementAp\cypher\run1\1_10.cypher;10;x;74;3;169
.\measurementAp\cypher\run1\1_11.cypher;11;x;74;6;175
.\measurementAp\cypher\run1\1_12.cypher;12;x;74;8;183
.\measurementAp\cypher\run1\1_13.cypher;13;x;71;2;185
.\measurementAp\cypher\run1\1_14.cypher;14;x;75;7;192
.\measurementAp\cypher\run1\1_15.cypher;15;x;75;0;192
.\measurementAp\cypher\run1\1_16.cypher;16;x;75;1;193
.\measurementAp\cypher\run1\1_17.cypher;17;x;75;9;202
.\measurementAp\cypher\run1\1_18.cypher;18;x;74;4;206
.\measurementAp\cypher\run1\1_19.cypher;19;x;74;2;208
.\measurementAp\cypher\run1\1_20.cypher;20;x;74;0;208
.\measurementAp\cypher\run1\1_21.cypher;21;x;74;2;210
.\measurementAp\cypher\run1\1_22.cypher;22;x;75;4;214
.\measurementAp\cypher\run1\1_23.cypher;23;x;75;1;215
.\measurementAp\cypher\run1\1_24.cypher;24;x;75;0;215
.\measurementAp\cypher\run1\1_25.cypher;25;x;75;0;215
.\measurementAp\cypher\run1\1_26.cypher;26;x;75;4;219
.\measurementAp\cypher\run1\1_27.cypher;27;x;75;0;219
.\measurementAp\cypher\run1\1_28.cypher;28;x;75;0;219
.\measurementAp\cypher\run1\1_29.cypher;29;x;75;0;219
.\measurementAp\cypher\run1\1_30.cypher;30;x;75;4;223
.\measurementAp\cypher\run1\1_31.cypher;31;x;75;2;225
.\measurementAp\cypher\run1\1_32.cypher;32;x;75;0;225
.\measurementAp\cypher\run1\1_33.cypher;33;x;75;2;227
.\measurementAp\cypher\run1\1_34.cypher;34;x;78;19;246
.\measurementAp\cypher\run1\1_35.cypher;35;x;78;3;249
.\measurementAp\cypher\run1\1_36.cypher;36;x;69;6;255
.\measurementAp\cypher\run1\1_37.cypher;37;x;71;2;257
.\measurementAp\cypher\run1\1_38.cypher;38;x;71;1;258
.\measurementAp\cypher\run1\1_39.cypher;39;x;78;2;260
.\measurementAp\cypher\run1\1_40.cypher;40;x;77;1;261
.\measurementAp\cypher\run1\1_41.cypher;41;x;74;0;261
.\measurementAp\cypher\run1\1_42.cypher;42;x;74;0;261
.\measurementAp\cypher\run1\1_43.cypher;43;x;75;0;261
.\measurementAp\cypher\run1\1_44.cypher;44;x;75;0;261
.\measurementAp\cypher\run1\1_45.cypher;45;x;74;2;263
.\measurementAp\cypher\run1\1_46.cypher;46;x;75;0;263
.\measurementAp\cypher\run1\1_47.cypher;47;x;74;0;263
.\measurementAp\cypher\run1\1_48.cypher;48;x;75;0;263
.\measurementAp\cypher\run1\1_49.cypher;49;x;74;0;263
.\measurementAp\cypher\run1\1_50.cypher;50;x;75;0;263
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementAp\cypher\run10\10_1.cypher;1;x;75;75;75
.\measurementAp\cypher\run10\10_2.cypher;2;x;73;15;90
.\measurementAp\cypher\run10\10_3.cypher;3;x;77;9;99
.\measurementAp\cypher\run10\10_4.cypher;4;x;75;6;105
.\measurementAp\cypher\run10\10_5.cypher;5;x;81;17;122
.\measurementAp\cypher\run10\10_6.cypher;6;x;79;16;138
.\measurementAp\cypher\run10\10_7.cypher;7;x;83;0;138
.\measurementAp\cypher\run10\10_8.cypher;8;x;79;7;145
.\measurementAp\cypher\run10\10_9.cypher;9;x;81;16;161
.\measurementAp\cypher\run10\10_10.cypher;10;x;83;6;167
.\measurementAp\cypher\run10\10_11.cypher;11;x;86;15;182
.\measurementAp\cypher\run10\10_12.cypher;12;x;86;12;194
.\measurementAp\cypher\run10\10_13.cypher;13;x;87;12;206
.\measurementAp\cypher\run10\10_14.cypher;14;x;91;9;215
.\measurementAp\cypher\run10\10_15.cypher;15;x;91;2;217
.\measurementAp\cypher\run10\10_16.cypher;16;x;91;8;225
.\measurementAp\cypher\run10\10_17.cypher;17;x;89;10;235
.\measurementAp\cypher\run10\10_18.cypher;18;x;89;7;242
.\measurementAp\cypher\run10\10_19.cypher;19;x;91;6;248
.\measurementAp\cypher\run10\10_20.cypher;20;x;90;4;252
.\measurementAp\cypher\run10\10_21.cypher;21;x;92;0;252
.\measurementAp\cypher\run10\10_22.cypher;22;x;90;4;256
.\measurementAp\cypher\run10\10_23.cypher;23;x;92;2;258
.\measurementAp\cypher\run10\10_24.cypher;24;x;90;4;262
.\measurementAp\cypher\run10\10_25.cypher;25;x;92;0;262
.\measurementAp\cypher\run10\10_26.cypher;26;x;89;4;266
.\measurementAp\cypher\run10\10_27.cypher;27;x;91;0;266
.\measurementAp\cypher\run10\10_28.cypher;28;x;90;4;270
.\measurementAp\cypher\run10\10_29.cypher;29;x;92;2;272
.\measurementAp\cypher\run10\10_30.cypher;30;x;90;4;276
.\measurementAp\cypher\run10\10_31.cypher;31;x;92;0;276
.\measurementAp\cypher\run10\10_32.cypher;32;x;91;7;283
.\measurementAp\cypher\run10\10_33.cypher;33;x;91;3;286
.\measurementAp\cypher\run10\10_34.cypher;34;x;89;2;288
.\measurementAp\cypher\run10\10_35.cypher;35;x;94;13;301
.\measurementAp\cypher\run10\10_36.cypher;36;x;92;1;302
.\measurementAp\cypher\run10\10_37.cypher;37;x;94;2;304
.\measurementAp\cypher\run10\10_38.cypher;38;x;92;6;310
.\measurementAp\cypher\run10\10_39.cypher;39;x;89;2;312
.\measurementAp\cypher\run10\10_40.cypher;40;x;94;4;316
.\measurementAp\cypher\run10\10_41.cypher;41;x;91;0;316
.\measurementAp\cypher\run10\10_42.cypher;42;x;85;4;320
.\measurementAp\cypher\run10\10_43.cypher;43;x;93;1;321
.\measurementAp\cypher\run10\10_44.cypher;44;x;93;0;321
.\measurementAp\cypher\run10\10_45.cypher;45;x;91;0;321
.\measurementAp\cypher\run10\10_46.cypher;46;x;92;0;321
.\measurementAp\cypher\run10\10_47.cypher;47;x;92;0;321
.\measurementAp\cypher\run10\10_48.cypher;48;x;92;0;321
.\measurementAp\cypher\run10\10_49.cypher;49;x;92;0;321
.\measurementAp\cypher\run10\10_50.cypher;50;x;92;0;321
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementAp\cypher\run2\2_1.cypher;1;x;61;61;61
.\measurementAp\cypher\run2\2_2.cypher;2;x;63;8;69
.\measurementAp\cypher\run2\2_3.cypher;3;x;63;9;78
.\measurementAp\cypher\run2\2_4.cypher;4;x;63;12;90
.\measurementAp\cypher\run2\2_5.cypher;5;x;63;0;90
.\measurementAp\cypher\run2\2_6.cypher;6;x;63;0;90
.\measurementAp\cypher\run2\2_7.cypher;7;x;66;12;102
.\measurementAp\cypher\run2\2_8.cypher;8;x;66;2;104
.\measurementAp\cypher\run2\2_9.cypher;9;x;66;6;110
.\measurementAp\cypher\run2\2_10.cypher;10;x;66;0;110
.\measurementAp\cypher\run2\2_11.cypher;11;x;66;0;110
.\measurementAp\cypher\run2\2_12.cypher;12;x;66;6;116
.\measurementAp\cypher\run2\2_13.cypher;13;x;71;26;142
.\measurementAp\cypher\run2\2_14.cypher;14;x;71;6;148
.\measurementAp\cypher\run2\2_15.cypher;15;x;71;11;159
.\measurementAp\cypher\run2\2_16.cypher;16;x;70;12;171
.\measurementAp\cypher\run2\2_17.cypher;17;x;70;0;171
.\measurementAp\cypher\run2\2_18.cypher;18;x;72;1;172
.\measurementAp\cypher\run2\2_19.cypher;19;x;72;4;176
.\measurementAp\cypher\run2\2_20.cypher;20;x;70;5;181
.\measurementAp\cypher\run2\2_21.cypher;21;x;72;2;183
.\measurementAp\cypher\run2\2_22.cypher;22;x;69;4;187
.\measurementAp\cypher\run2\2_23.cypher;23;x;69;2;189
.\measurementAp\cypher\run2\2_24.cypher;24;x;71;0;189
.\measurementAp\cypher\run2\2_25.cypher;25;x;71;2;191
.\measurementAp\cypher\run2\2_26.cypher;26;x;70;2;193
.\measurementAp\cypher\run2\2_27.cypher;27;x;72;0;193
.\measurementAp\cypher\run2\2_28.cypher;28;x;70;4;197
.\measurementAp\cypher\run2\2_29.cypher;29;x;70;0;197
.\measurementAp\cypher\run2\2_30.cypher;30;x;72;0;197
.\measurementAp\cypher\run2\2_31.cypher;31;x;72;0;197
.\measurementAp\cypher\run2\2_32.cypher;32;x;70;4;201
.\measurementAp\cypher\run2\2_33.cypher;33;x;72;1;202
.\measurementAp\cypher\run2\2_34.cypher;34;x;70;0;202
.\measurementAp\cypher\run2\2_35.cypher;35;x;72;0;202
.\measurementAp\cypher\run2\2_36.cypher;36;x;67;1;203
.\measurementAp\cypher\run2\2_37.cypher;37;x;67;2;205
.\measurementAp\cypher\run2\2_38.cypher;38;x;67;2;207
.\measurementAp\cypher\run2\2_39.cypher;39;x;67;1;208
.\measurementAp\cypher\run2\2_40.cypher;40;x;67;1;209
.\measurementAp\cypher\run2\2_41.cypher;41;x;67;0;209
.\measurementAp\cypher\run2\2_42.cypher;42;x;67;1;210
.\measurementAp\cypher\run2\2_43.cypher;43;x;73;15;225
.\measurementAp\cypher\run2\2_44.cypher;44;x;67;0;225
.\measurementAp\cypher\run2\2_45.cypher;45;x;74;1;226
.\measurementAp\cypher\run2\2_46.cypher;46;x;73;0;226
.\measurementAp\cypher\run2\2_47.cypher;47;x;74;8;234
.\measurementAp\cypher\run2\2_48.cypher;48;x;74;11;245
.\measurementAp\cypher\run2\2_49.cypher;49;x;74;0;245
.\measurementAp\cypher\run2\2_50.cypher;50;x;66;2;247
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementAp\cypher\run3\3_1.cypher;1;x;58;58;58
.\measurementAp\cypher\run3\3_2.cypher;2;x;58;0;58
.\measurementAp\cypher\run3\3_3.cypher;3;x;59;8;66
.\measurementAp\cypher\run3\3_4.cypher;4;x;59;0;66
.\measurementAp\cypher\run3\3_5.cypher;5;x;58;0;66
.\measurementAp\cypher\run3\3_6.cypher;6;x;58;0;66
.\measurementAp\cypher\run3\3_7.cypher;7;x;58;0;66
.\measurementAp\cypher\run3\3_8.cypher;8;x;59;0;66
.\measurementAp\cypher\run3\3_9.cypher;9;x;59;0;66
.\measurementAp\cypher\run3\3_10.cypher;10;x;59;0;66
.\measurementAp\cypher\run3\3_11.cypher;11;x;59;0;66
.\measurementAp\cypher\run3\3_12.cypher;12;x;58;0;66
.\measurementAp\cypher\run3\3_13.cypher;13;x;59;7;73
.\measurementAp\cypher\run3\3_14.cypher;14;x;60;0;73
.\measurementAp\cypher\run3\3_15.cypher;15;x;59;0;73
.\measurementAp\cypher\run3\3_16.cypher;16;x;60;0;73
.\measurementAp\cypher\run3\3_17.cypher;17;x;60;0;73
.\measurementAp\cypher\run3\3_18.cypher;18;x;60;0;73
.\measurementAp\cypher\run3\3_19.cypher;19;x;60;10;83
.\measurementAp\cypher\run3\3_20.cypher;20;x;60;0;83
.\measurementAp\cypher\run3\3_21.cypher;21;x;60;4;87
.\measurementAp\cypher\run3\3_22.cypher;22;x;60;0;87
.\measurementAp\cypher\run3\3_23.cypher;23;x;60;2;89
.\measurementAp\cypher\run3\3_24.cypher;24;x;60;0;89
.\measurementAp\cypher\run3\3_25.cypher;25;x;60;0;89
.\measurementAp\cypher\run3\3_26.cypher;26;x;60;4;93
.\measurementAp\cypher\run3\3_27.cypher;27;x;60;0;93
.\measurementAp\cypher\run3\3_28.cypher;28;x;59;4;97
.\measurementAp\cypher\run3\3_29.cypher;29;x;59;0;97
.\measurementAp\cypher\run3\3_30.cypher;30;x;59;0;97
.\measurementAp\cypher\run3\3_31.cypher;31;x;59;0;97
.\measurementAp\cypher\run3\3_32.cypher;32;x;59;0;97
.\measurementAp\cypher\run3\3_33.cypher;33;x;60;0;97
.\measurementAp\cypher\run3\3_34.cypher;34;x;60;0;97
.\measurementAp\cypher\run3\3_35.cypher;35;x;64;18;115
.\measurementAp\cypher\run3\3_36.cypher;36;x;64;13;128
.\measurementAp\cypher\run3\3_37.cypher;37;x;64;0;128
.\measurementAp\cypher\run3\3_38.cypher;38;x;64;0;128
.\measurementAp\cypher\run3\3_39.cypher;39;x;64;8;136
.\measurementAp\cypher\run3\3_40.cypher;40;x;64;0;136
.\measurementAp\cypher\run3\3_41.cypher;41;x;59;4;140
.\measurementAp\cypher\run3\3_42.cypher;42;x;60;2;142
.\measurementAp\cypher\run3\3_43.cypher;43;x;60;0;142
.\measurementAp\cypher\run3\3_44.cypher;44;x;60;0;142
.\measurementAp\cypher\run3\3_45.cypher;45;x;59;0;142
.\measurementAp\cypher\run3\3_46.cypher;46;x;60;2;144
.\measurementAp\cypher\run3\3_47.cypher;47;x;60;0;144
.\measurementAp\cypher\run3\3_48.cypher;48;x;64;2;146
.\measurementAp\cypher\run3\3_49.cypher;49;x;60;0;146
.\measurementAp\cypher\run3\3_50.cypher;50;x;64;0;146
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementAp\cypher\run4\4_1.cypher;1;x;59;59;59
.\measurementAp\cypher\run4\4_2.cypher;2;x;59;0;59
.\measurementAp\cypher\run4\4_3.cypher;3;x;60;7;66
.\measurementAp\cypher\run4\4_4.cypher;4;x;60;0;66
.\measurementAp\cypher\run4\4_5.cypher;5;x;59;10;76
.\measurementAp\cypher\run4\4_6.cypher;6;x;61;1;77
.\measurementAp\cypher\run4\4_7.cypher;7;x;60;0;77
.\measurementAp\cypher\run4\4_8.cypher;8;x;61;10;87
.\measurementAp\cypher\run4\4_9.cypher;9;x;59;5;92
.\measurementAp\cypher\run4\4_10.cypher;10;x;60;1;93
.\measurementAp\cypher\run4\4_11.cypher;11;x;61;0;93
.\measurementAp\cypher\run4\4_12.cypher;12;x;61;2;95
.\measurementAp\cypher\run4\4_13.cypher;13;x;59;4;99
.\measurementAp\cypher\run4\4_14.cypher;14;x;61;0;99
.\measurementAp\cypher\run4\4_15.cypher;15;x;60;0;99
.\measurementAp\cypher\run4\4_16.cypher;16;x;61;0;99
.\measurementAp\cypher\run4\4_17.cypher;17;x;58;4;103
.\measurementAp\cypher\run4\4_18.cypher;18;x;59;0;103
.\measurementAp\cypher\run4\4_19.cypher;19;x;60;0;103
.\measurementAp\cypher\run4\4_20.cypher;20;x;60;0;103
.\measurementAp\cypher\run4\4_21.cypher;21;x;61;4;107
.\measurementAp\cypher\run4\4_22.cypher;22;x;61;2;109
.\measurementAp\cypher\run4\4_23.cypher;23;x;59;2;111
.\measurementAp\cypher\run4\4_24.cypher;24;x;60;0;111
.\measurementAp\cypher\run4\4_25.cypher;25;x;62;12;123
.\measurementAp\cypher\run4\4_26.cypher;26;x;63;0;123
.\measurementAp\cypher\run4\4_27.cypher;27;x;63;5;128
.\measurementAp\cypher\run4\4_28.cypher;28;x;63;13;141
.\measurementAp\cypher\run4\4_29.cypher;29;x;63;1;142
.\measurementAp\cypher\run4\4_30.cypher;30;x;63;0;142
.\measurementAp\cypher\run4\4_31.cypher;31;x;63;0;142
.\measurementAp\cypher\run4\4_32.cypher;32;x;63;5;147
.\measurementAp\cypher\run4\4_33.cypher;33;x;63;0;147
.\measurementAp\cypher\run4\4_34.cypher;34;x;63;0;147
.\measurementAp\cypher\run4\4_35.cypher;35;x;63;8;155
.\measurementAp\cypher\run4\4_36.cypher;36;x;63;2;157
.\measurementAp\cypher\run4\4_37.cypher;37;x;63;2;159
.\measurementAp\cypher\run4\4_38.cypher;38;x;64;0;159
.\measurementAp\cypher\run4\4_39.cypher;39;x;64;1;160
.\measurementAp\cypher\run4\4_40.cypher;40;x;64;0;160
.\measurementAp\cypher\run4\4_41.cypher;41;x;64;0;160
.\measurementAp\cypher\run4\4_42.cypher;42;x;64;0;160
.\measurementAp\cypher\run4\4_43.cypher;43;x;64;0;160
.\measurementAp\cypher\run4\4_44.cypher;44;x;64;1;161
.\measurementAp\cypher\run4\4_45.cypher;45;x;64;0;161
.\measurementAp\cypher\run4\4_46.cypher;46;x;64;1;162
.\measurementAp\cypher\run4\4_47.cypher;47;x;64;0;162
.\measurementAp\cypher\run4\4_48.cypher;48;x;64;0;162
.\measurementAp\cypher\run4\4_49.cypher;49;x;64;0;162
.\measurementAp\cypher\run4\4_50.cypher;50;x;64;0;162
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementAp\cypher\run5\5_1.cypher;1;x;59;59;59
.\measurementAp\cypher\run5\5_2.cypher;2;x;63;13;72
.\measurementAp\cypher\run5\5_3.cypher;3;x;63;9;81
.\measurementAp\cypher\run5\5_4.cypher;4;x;63;12;93
.\measurementAp\cypher\run5\5_5.cypher;5;x;67;16;109
.\measurementAp\cypher\run5\5_6.cypher;6;x;67;1;110
.\measurementAp\cypher\run5\5_7.cypher;7;x;67;1;111
.\measurementAp\cypher\run5\5_8.cypher;8;x;67;5;116
.\measurementAp\cypher\run5\5_9.cypher;9;x;65;8;124
.\measurementAp\cypher\run5\5_10.cypher;10;x;66;7;131
.\measurementAp\cypher\run5\5_11.cypher;11;x;66;0;131
.\measurementAp\cypher\run5\5_12.cypher;12;x;66;0;131
.\measurementAp\cypher\run5\5_13.cypher;13;x;66;8;139
.\measurementAp\cypher\run5\5_14.cypher;14;x;66;4;143
.\measurementAp\cypher\run5\5_15.cypher;15;x;66;0;143
.\measurementAp\cypher\run5\5_16.cypher;16;x;66;0;143
.\measurementAp\cypher\run5\5_17.cypher;17;x;66;0;143
.\measurementAp\cypher\run5\5_18.cypher;18;x;66;4;147
.\measurementAp\cypher\run5\5_19.cypher;19;x;66;2;149
.\measurementAp\cypher\run5\5_20.cypher;20;x;66;0;149
.\measurementAp\cypher\run5\5_21.cypher;21;x;66;2;151
.\measurementAp\cypher\run5\5_22.cypher;22;x;66;4;155
.\measurementAp\cypher\run5\5_23.cypher;23;x;66;0;155
.\measurementAp\cypher\run5\5_24.cypher;24;x;65;4;159
.\measurementAp\cypher\run5\5_25.cypher;25;x;65;2;161
.\measurementAp\cypher\run5\5_26.cypher;26;x;66;0;161
.\measurementAp\cypher\run5\5_27.cypher;27;x;66;0;161
.\measurementAp\cypher\run5\5_28.cypher;28;x;65;2;163
.\measurementAp\cypher\run5\5_29.cypher;29;x;65;0;163
.\measurementAp\cypher\run5\5_30.cypher;30;x;71;14;177
.\measurementAp\cypher\run5\5_31.cypher;31;x;71;1;178
.\measurementAp\cypher\run5\5_32.cypher;32;x;71;7;185
.\measurementAp\cypher\run5\5_33.cypher;33;x;71;0;185
.\measurementAp\cypher\run5\5_34.cypher;34;x;71;2;187
.\measurementAp\cypher\run5\5_35.cypher;35;x;74;17;204
.\measurementAp\cypher\run5\5_36.cypher;36;x;74;11;215
.\measurementAp\cypher\run5\5_37.cypher;37;x;69;3;218
.\measurementAp\cypher\run5\5_38.cypher;38;x;71;1;219
.\measurementAp\cypher\run5\5_39.cypher;39;x;71;0;219
.\measurementAp\cypher\run5\5_40.cypher;40;x;71;0;219
.\measurementAp\cypher\run5\5_41.cypher;41;x;73;7;226
.\measurementAp\cypher\run5\5_42.cypher;42;x;74;2;228
.\measurementAp\cypher\run5\5_43.cypher;43;x;74;3;231
.\measurementAp\cypher\run5\5_44.cypher;44;x;77;7;238
.\measurementAp\cypher\run5\5_45.cypher;45;x;77;9;247
