Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run1\1_50.cypher;50;x;59;0;154
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run10\10_1.cypher;1;x;56;56;56
.\measurementA\cypher\run10\10_2.cypher;2;x;57;15;71
.\measurementA\cypher\run10\10_3.cypher;3;x;56;0;71
.\measurementA\cypher\run10\10_4.cypher;4;x;55;0;71
.\measurementA\cypher\run10\10_5.cypher;5;x;58;15;86
.\measurementA\cypher\run10\10_6.cypher;6;x;59;9;95
.\measurementA\cypher\run10\10_7.cypher;7;x;60;11;106
.\measurementA\cypher\run10\10_8.cypher;8;x;57;7;113
.\measurementA\cypher\run10\10_9.cypher;9;x;56;5;118
.\measurementA\cypher\run10\10_10.cypher;10;x;58;0;118
.\measurementA\cypher\run10\10_11.cypher;11;x;57;0;118
.\measurementA\cypher\run10\10_12.cypher;12;x;57;0;118
.\measurementA\cypher\run10\10_13.cypher;13;x;56;0;118
.\measurementA\cypher\run10\10_14.cypher;14;x;58;0;118
.\measurementA\cypher\run10\10_15.cypher;15;x;57;0;118
.\measurementA\cypher\run10\10_16.cypher;16;x;57;0;118
.\measurementA\cypher\run10\10_17.cypher;17;x;59;1;119
.\measurementA\cypher\run10\10_18.cypher;18;x;58;6;125
.\measurementA\cypher\run10\10_19.cypher;19;x;59;0;125
.\measurementA\cypher\run10\10_20.cypher;20;x;57;3;128
.\measurementA\cypher\run10\10_21.cypher;21;x;59;0;128
.\measurementA\cypher\run10\10_22.cypher;22;x;58;0;128
.\measurementA\cypher\run10\10_23.cypher;23;x;59;3;131
.\measurementA\cypher\run10\10_24.cypher;24;x;59;0;131
.\measurementA\cypher\run10\10_25.cypher;25;x;60;14;145
.\measurementA\cypher\run10\10_26.cypher;26;x;62;0;145
.\measurementA\cypher\run10\10_27.cypher;27;x;61;0;145
.\measurementA\cypher\run10\10_28.cypher;28;x;59;0;145
.\measurementA\cypher\run10\10_29.cypher;29;x;60;5;150
.\measurementA\cypher\run10\10_30.cypher;30;x;60;6;156
.\measurementA\cypher\run10\10_31.cypher;31;x;62;2;158
.\measurementA\cypher\run10\10_32.cypher;32;x;59;0;158
.\measurementA\cypher\run10\10_33.cypher;33;x;61;0;158
.\measurementA\cypher\run10\10_34.cypher;34;x;60;0;158
.\measurementA\cypher\run10\10_35.cypher;35;x;62;0;158
.\measurementA\cypher\run10\10_36.cypher;36;x;62;3;161
.\measurementA\cypher\run10\10_37.cypher;37;x;60;13;174
.\measurementA\cypher\run10\10_38.cypher;38;x;62;0;174
.\measurementA\cypher\run10\10_39.cypher;39;x;60;0;174
.\measurementA\cypher\run10\10_40.cypher;40;x;62;9;183
.\measurementA\cypher\run10\10_41.cypher;41;x;62;4;187
.\measurementA\cypher\run10\10_42.cypher;42;x;61;0;187
.\measurementA\cypher\run10\10_43.cypher;43;x;62;0;187
.\measurementA\cypher\run10\10_44.cypher;44;x;61;0;187
.\measurementA\cypher\run10\10_45.cypher;45;x;63;2;189
.\measurementA\cypher\run10\10_46.cypher;46;x;62;0;189
.\measurementA\cypher\run10\10_47.cypher;47;x;62;0;189
.\measurementA\cypher\run10\10_48.cypher;48;x;62;0;189
.\measurementA\cypher\run10\10_49.cypher;49;x;63;1;190
.\measurementA\cypher\run10\10_50.cypher;50;x;63;0;190
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run2\2_1.cypher;1;x;55;55;55
.\measurementA\cypher\run2\2_2.cypher;2;x;53;5;60
.\measurementA\cypher\run2\2_3.cypher;3;x;55;9;69
.\measurementA\cypher\run2\2_4.cypher;4;x;56;13;82
.\measurementA\cypher\run2\2_5.cypher;5;x;58;3;85
.\measurementA\cypher\run2\2_6.cypher;6;x;57;7;92
.\measurementA\cypher\run2\2_7.cypher;7;x;59;1;93
.\measurementA\cypher\run2\2_8.cypher;8;x;58;12;105
.\measurementA\cypher\run2\2_9.cypher;9;x;62;3;108
.\measurementA\cypher\run2\2_10.cypher;10;x;62;5;113
.\measurementA\cypher\run2\2_11.cypher;11;x;62;8;121
.\measurementA\cypher\run2\2_12.cypher;12;x;65;8;129
.\measurementA\cypher\run2\2_13.cypher;13;x;65;1;130
.\measurementA\cypher\run2\2_14.cypher;14;x;65;5;135
.\measurementA\cypher\run2\2_15.cypher;15;x;63;7;142
.\measurementA\cypher\run2\2_16.cypher;16;x;63;0;142
.\measurementA\cypher\run2\2_17.cypher;17;x;63;0;142
.\measurementA\cypher\run2\2_18.cypher;18;x;63;0;142
.\measurementA\cypher\run2\2_19.cypher;19;x;63;4;146
.\measurementA\cypher\run2\2_20.cypher;20;x;63;1;147
.\measurementA\cypher\run2\2_21.cypher;21;x;63;0;147
.\measurementA\cypher\run2\2_22.cypher;22;x;63;0;147
.\measurementA\cypher\run2\2_23.cypher;23;x;63;4;151
.\measurementA\cypher\run2\2_24.cypher;24;x;63;2;153
.\measurementA\cypher\run2\2_25.cypher;25;x;63;4;157
.\measurementA\cypher\run2\2_26.cypher;26;x;63;2;159
.\measurementA\cypher\run2\2_27.cypher;27;x;62;4;163
.\measurementA\cypher\run2\2_28.cypher;28;x;62;0;163
.\measurementA\cypher\run2\2_29.cypher;29;x;57;1;164
.\measurementA\cypher\run2\2_30.cypher;30;x;59;0;164
.\measurementA\cypher\run2\2_31.cypher;31;x;59;0;164
.\measurementA\cypher\run2\2_32.cypher;32;x;59;0;164
.\measurementA\cypher\run2\2_33.cypher;33;x;58;1;165
.\measurementA\cypher\run2\2_34.cypher;34;x;60;0;165
.\measurementA\cypher\run2\2_35.cypher;35;x;60;0;165
.\measurementA\cypher\run2\2_36.cypher;36;x;60;0;165
.\measurementA\cypher\run2\2_37.cypher;37;x;58;2;167
.\measurementA\cypher\run2\2_38.cypher;38;x;60;1;168
.\measurementA\cypher\run2\2_39.cypher;39;x;60;0;168
.\measurementA\cypher\run2\2_40.cypher;40;x;60;2;170
.\measurementA\cypher\run2\2_41.cypher;41;x;58;1;171
.\measurementA\cypher\run2\2_42.cypher;42;x;60;0;171
.\measurementA\cypher\run2\2_43.cypher;43;x;60;0;171
.\measurementA\cypher\run2\2_44.cypher;44;x;60;0;171
.\measurementA\cypher\run2\2_45.cypher;45;x;60;2;173
.\measurementA\cypher\run2\2_46.cypher;46;x;60;2;175
.\measurementA\cypher\run2\2_47.cypher;47;x;58;1;176
.\measurementA\cypher\run2\2_48.cypher;48;x;60;0;176
.\measurementA\cypher\run2\2_49.cypher;49;x;63;0;176
.\measurementA\cypher\run2\2_50.cypher;50;x;63;0;176
Model;Index;Size;InternalDiversity;NewShapes;AllCurrentShapes
.\measurementA\cypher\run3\3_1.cypher;1;x;58;58;58
.\measurementA\cypher\run3\3_2.cypher;2;x;58;0;58
.\measurementA\cypher\run3\3_3.cypher;3;x;59;11;69
.\measurementA\cypher\run3\3_4.cypher;4;x;59;0;69
.\measurementA\cypher\run3\3_5.cypher;5;x;58;6;75
.\measurementA\cypher\run3\3_6.cypher;6;x;58;0;75
.\measurementA\cypher\run3\3_7.cypher;7;x;59;5;80
.\measurementA\cypher\run3\3_8.cypher;8;x;59;0;80
.\measurementA\cypher\run3\3_9.cypher;9;x;63;17;97
.\measurementA\cypher\run3\3_10.cypher;10;x;63;12;109
.\measurementA\cypher\run3\3_11.cypher;11;x;63;13;122
.\measurementA\cypher\run3\3_12.cypher;12;x;63;0;122
.\measurementA\cypher\run3\3_13.cypher;13;x;63;0;122
.\measurementA\cypher\run3\3_14.cypher;14;x;63;0;122
.\measurementA\cypher\run3\3_15.cypher;15;x;67;10;132
.\measurementA\cypher\run3\3_16.cypher;16;x;67;5;137
.\measurementA\cypher\run3\3_17.cypher;17;x;67;6;143
.\measurementA\cypher\run3\3_18.cypher;18;x;67;7;150
.\measurementA\cypher\run3\3_19.cypher;19;x;66;4;154
.\measurementA\cypher\run3\3_20.cypher;20;x;66;2;156
.\measurementA\cypher\run3\3_21.cypher;21;x;66;2;158
.\measurementA\cypher\run3\3_22.cypher;22;x;69;21;179
.\measurementA\cypher\run3\3_23.cypher;23;x;69;4;183
.\measurementA\cypher\run3\3_24.cypher;24;x;71;3;186
.\measurementA\cypher\run3\3_25.cypher;25;x;67;6;192
.\measurementA\cypher\run3\3_26.cypher;26;x;65;1;193
.\measurementA\cypher\run3\3_27.cypher;27;x;64;7;200
.\measurementA\cypher\run3\3_28.cypher;28;x;64;0;200
.\measurementA\cypher\run3\3_29.cypher;29;x;64;4;204
.\measurementA\cypher\run3\3_30.cypher;30;x;64;0;204
.\measurementA\cypher\run3\3_31.cypher;31;x;64;4;208
.\measurementA\cypher\run3\3_32.cypher;32;x;64;0;208
.\measurementA\cypher\run3\3_33.cypher;33;x;64;4;212
.\measurementA\cypher\run3\3_34.cypher;34;x;64;2;214
.\measurementA\cypher\run3\3_35.cypher;35;x;63;4;218
